Node_Label,ID_,Parent_Foreign_Id,Parent_Foreign_Source,IP_Management,MgmtType_,svc_Forced,cat_display,cat_region,Asset_serialNumber,Asset_assetNumber,Asset_latitude,Asset_longitude
50887,50887,mk938-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,966FB8,50887,,
71459,71459,mk938-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,71459,,
84627,84627,mk938-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D7FE5D,84627,,
211526,211526,mk938-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,211526,,
150892,150892,mk938-olt-7_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D7C827,150892,,
365030,365030,mk938-olt-7_SECONDARY,gpon2,254.0.0.1,N,,ONT,,CD1601,365030,,
410077,410077,mk938-olt-7_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,410077,,
104673,104673,nor340-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,9654E8,104673,,
126780,126780,nor340-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,968889,126780,,
360544,360544,nor340-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,360544,,
192739,192739,nor340-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D51B48,192739,,
573330,573330,nor340-olt-5_SECONDARY,gpon2,254.0.0.1,N,,ONT,,CE5876,573330,,
203185,203185,nor341-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,203185,,
269087,269087,nor341-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,CD3DEA,269087,,
374725,374725,nor341-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,CFEB08,374725,,
225376,225376,nor341-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,D7E994,225376,,
267756,267756,nor341-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,CD1570,267756,,
466778,466778,nor341-olt-3_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,466778,,
431234,431234,nor341-olt-7_SECONDARY,gpon2,254.0.0.1,N,,ONT,,,431234,,
142119,142119,not238-olt-1_SECONDARY,gpon2,254.0.0.1,N,,ONT,,AE726B,142119,,
